Id	PROJECT	ASSAY	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA	diff	diffCont	order	class
1201	PXD000426	30688	467	465	2	6	0	0.995717344753747	1	7805	1
5850	PXD000385	30497	700	697	3	55	0	0.995714285714286	1	7806	1
6626	PRD000668	22199	2099	2090	9	519	0	0.995712243925679	1	7807	1
11324	PXD000069	27815	233	232	1	0	0	0.995708154506438	1	7808	1
19607	PXD000314	29931	1397	1391	6	1	0	0.995705082319256	1	7809	1
13355	PRD000032	2895	465	463	2	2	0	0.995698924731183	1	7810	1
14324	PRD000087	8766	697	694	3	3	0	0.995695839311334	1	7811	1
9050	PRD000721	25202	232	231	1	0	0	0.995689655172414	1	7812	1
11327	PXD000069	27818	232	231	1	0	0	0.995689655172414	1	7813	1
5503	PXD001006	37087	1390	1384	6	31	1	0.99568345323741	0.999280575539568	7814	1
10895	PXD000210	29060	10647	10601	46	176	0	0.995679534141073	1	7815	1
4646	PXD000429	30821	37949	37785	164	3895	103	0.9956784104983	0.997285830983689	7816	1
15381	PXD000161	28670	46947	46744	203	1046	5	0.995675975035679	0.999893496922061	7817	1
8494	PXD001000	36971	2081	2072	9	16	0	0.995675156174916	1	7818	1
516	PXD001091	37925	3929	3912	17	28	1	0.99567319928735	0.999745482311021	7819	1
513	PXD001091	37922	5083	5061	22	0	2	0.995671847334251	0.999606531575841	7820	1
13348	PRD000032	2888	462	460	2	0	0	0.995670995670996	1	7821	1
3018	PRD000097	9182	42041	41859	182	25	5	0.995670892699983	0.999881068480769	7822	1
7343	PRD000666	22151	125417	124874	543	6835	18	0.995670443400815	0.999856478786767	7823	1
10744	PRD000214	11998	3464	3449	15	34	0	0.99566974595843	1	7824	1
13656	PRD000488	18138	2309	2299	10	5	0	0.995669120831529	1	7825	1
6571	PXD000015	27098	692	689	3	159	0	0.995664739884393	1	7826	1
14026	PXD000746	34731	17527	17451	76	889	0	0.995663832943459	1	7827	1
1650	PRD000073	8239	461	459	2	14	0	0.995661605206074	1	7828	1
14835	PXD000218	29460	461	459	2	10	0	0.995661605206074	1	7829	1
3027	PRD000097	9191	9449	9408	41	32	0	0.9956609164991	1	7830	1
4451	PRD000562	19230	29246	29119	127	9	2	0.995657525815496	0.999931614579772	7831	1
8599	PRD000345	15424	1840	1832	8	64	0	0.995652173913044	1	7832	1
6130	PRD000100	9214	36738	36578	160	2	0	0.995644836409168	1	7833	1
14056	PRD000216	12007	1607	1600	7	318	0	0.995644057249533	1	7834	1
5498	PXD001006	37082	1375	1369	6	45	1	0.995636363636364	0.999272727272727	7835	1
1785	PRD000073	8374	458	456	2	79	2	0.995633187772926	0.995633187772926	7836	1
8672	PRD000738	27055	229	228	1	35	0	0.995633187772926	1	7837	1
